City_ID,city,lat,lng,max_Temp,humidity,cloudiness,wind_Speed,country,date
304,benguela,-12.5763,13.4055,77.49,84,97,2.08,AO,2023-04-17 03:58:43
305,rio grande,-32.035,-52.0986,65.93,87,94,12.41,BR,2023-04-17 03:58:43
306,jawhar,2.7809,45.5005,80.44,72,56,4.09,SO,2023-04-17 03:58:43
307,hopelchen,19.7667,-89.85,75.43,75,19,7.74,MX,2023-04-17 03:58:43
308,carbondale,37.7273,-89.2168,51.8,55,100,11.5,US,2023-04-17 03:58:01
309,hamilton,39.1834,-84.5333,47.08,70,100,12.66,US,2023-04-17 03:58:44
310,taksimo,56.3444,114.8794,24.93,41,4,3.13,RU,2023-04-17 03:58:44
311,pitsunda,43.1592,40.3378,53.78,71,95,12.5,GE,2023-04-17 03:58:44
312,constitucion,-35.3333,-72.4167,49.6,87,1,12.91,CL,2023-04-17 03:58:44
313,santa rosa,14.3122,121.1114,90.01,66,76,5.59,PH,2023-04-17 03:58:44
314,general roca,-39.0333,-67.5833,53.62,36,0,15.37,AR,2023-04-17 03:58:45
315,inta,66.0317,60.1659,19.33,77,100,7.87,RU,2023-04-17 03:58:45
316,jaque,7.5175,-78.1703,77.31,87,100,7.38,PA,2023-04-17 03:58:45
317,alugan,12.2188,125.4808,85.12,66,87,7.02,PH,2023-04-17 03:58:46
318,sorkjosen,69.8,20.9333,35.6,93,75,4.61,NO,2023-04-17 03:58:46
319,bambanglipuro,-7.95,110.2833,85.6,62,26,5.64,ID,2023-04-17 03:58:46
320,evanston,42.0411,-87.6901,35.89,87,100,13.8,US,2023-04-17 03:58:46
321,bubaque,11.2833,-15.8333,78.15,73,14,11.39,GW,2023-04-17 03:58:46
322,ulundi,-28.3352,31.4162,55.04,86,0,5.03,ZA,2023-04-17 03:58:47
323,kavaratti,10.5669,72.642,82.96,72,9,1.79,IN,2023-04-17 03:58:47
324,akhalgori,42.126,44.4833,43.61,91,100,7.2,GE,2023-04-17 03:58:47
325,lebu,-37.6167,-73.65,50.94,78,44,12.21,CL,2023-04-17 03:58:47
326,asasa,7.1,39.2,53.96,89,24,3.83,ET,2023-04-17 03:58:47
327,naze,28.3667,129.4833,72.52,56,4,7.2,JP,2023-04-17 03:58:48
328,baft,29.234,56.6057,51.84,51,54,3.22,IR,2023-04-17 03:58:48
329,pochutla,15.7432,-96.4661,81.82,77,29,3.56,MX,2023-04-17 03:58:48
